feature,reason,model,description,Change Reason/Comment
co07s__tu,Delinquent credit obligations,gen_xii,Total balance of trades that charged-off in the past 24 months,
at20s__tu,"Insufficient credit file, Length of Credit",gen_xii,Months since oldest trade opened,
g211s__tu,Delinquent credit obligations,gen_xii,Highest balance of charged-off trades,
mt01s__tu,Excessive Number of Accounts,gen_xii,Number of mortgage trades,
s204s__tu,Delinquent credit obligations,gen_xii,Total balance of third party collections verified in past 12 months,
cv13__tu,Delinquent credit obligations,gen_xii,Percentage of trades ever delinquent,
au207s__tu,Delinquent credit obligations,gen_xii,Number of auto charged-off trades,
linkf141__tu,Excessive number of credit obligations or accounts,gen_xii,Number of distinct bank accounts within last 2 months,
co01s__tu,Delinquent credit obligations,gen_xii,Number of charged-off trades,
linka045__tu,Excessive Bank Account Closures,gen_xii,Number of checking account closures for cause in the last year,
linka050__tu,Excessive Inquiries,gen_xii,Number of checking account inquiries in the last 6 months,
criminalnonfelonycount__ln,Derogatory public record,gen_xii,Total non-felony criminal convictions or sexual offender registry records on subject's file,
rev84__tu,High revolving credit balances,gen_xii,Months since a Revolving trade last exceeded 90% utilization,
linka012__tu,Excessive Bank Account Closures,gen_xii,Number of unpaid checking account closures for cause in the last 2 years,
rev225__tu,Excessive payment to income,gen_xii,Average total Payment Ratio for Revolving accounts over the past 24 months,
linka017__tu,Excessive Bank Account Closures,gen_xii,Number of checking account closures for cause in the last 5 years,
s207s__tu,Derogatory Public record,gen_xii,Months since most recent public record bankruptcy,
bc104s__tu,Excessive Account Balances,gen_xii,Average of the open credit card trade utilizations verified in past 12 months,
g990s__tu,Excessive inquiries,gen_xii,Number of deduped inquiries in past 12 months,
ret225__tu,Excessive payment to income,gen_xii,Average total Payment Ratio for Retail accounts over the past 24 months,
cv21__tu,Excessive debt to income,gen_xii,Total payment amount of trades verified in past 3 months,
rt20s__tu,"Insufficient credit file, Length of Credit vs Insufficient length of credit history",gen_xii,Months since oldest retail trade opened,
trv06__tu,Excessive Account Balances,gen_xii,Number of months non-mortgage balance increases last 12 months,
g407s__tu,Excessive inquiries,gen_xii,Number of deduped finance inquiries,
g234s__tu,Excessive inquiries,gen_xii,Number of days with inquiry occurring in past 30 days,
linkf147__tu,Excessive number of sources for phone number or email addresses,gen_xii,Number of distinct cell phones within last 18 months,
businessassociationtimeoldest__ln,Insufficient advanced training or certifications,gen_xii,Time (in months) since a formal business association with the subject first seen on file,
g228s__tu,Delinquent credit obligations,gen_xii,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months,
ssnproblems__ln,Unable to verify consumer identity or information,gen_xii,Indicates problems on file associated with the input SSN,
linka013__tu,Excessive Bank Account Closures,gen_xii,Total dollar amount of unpaid checking account closures for cause in the last 4 years,
g002s__tu,Delinquent credit obligations,gen_xii,Number of 60 days past due ratings in past 12 months,
s064b__tu,Delinquent credit obligations,gen_xii,Total placement amount of non-medical third party collections,
linka047__tu,Excessive Bank Account Closures,gen_xii,Number of checking account closures for cause in the last 3 years,
ret201__tu,Excessive payment to income,gen_xii,Total Payment Ratio for Retail accounts over the past 1 month,
g240s__tu,Excessive inquiries,gen_xii,Number of mortgage inquiries,
addrcurrentdwelltypeindex__ln,No mortgage loans reported or too few active mortgage accounts,gen_xii,Index indicating the dwelling type for current address on subject's file,
linka051__tu,Excessive Inquiries,gen_xii,Number of checking account inquiries in the last year,
agg910__tu,Excessive Account Balances,gen_xii,Max aggregate bankcard utilization over last 3 months,
trv13__tu,High revolving credit balances,gen_xii,Number of revolving high credit increases YOY,
rvdexq2__tu,High revolving credit balances,gen_xi,Q2 (Apr - Jun) revolving spend indexed to revolving annual spend,
rev_trd__tu,Excessive Number of Accounts,gen_xi,Number of revolving trades,
atap01__tu,Excessive payment to income,gen_xi,Total scheduled monthly payment for all trades verified in past 12 months,
rev319__tu,High revolving credit balances,gen_xi,Max Total Open-to-Buy for Revolving accounts over the past 24 months,
linka030__tu,Excessive Inquiries,gen_xi,Number of days since most recent checking account inquiry,
co04s__tu,Delinquent credit obligations,gen_xi,Months since most recent charged-off trade reported,
aut201__tu,Excessive payment to income,gen_xi,Total Payment Ratio for Auto accounts over the past 1 month,
bkc323__tu,Excessive Account Balances,gen_xi,Min Total Open-to-Buy for Bankcard accounts over the past 12 months,
confirmationinputssn__ln,Unable to verify consumer identity or information,gen_xi,Indicates input Social Security Number (SSN) is confirmed by records on file,
addrlastmoveecontrajectory__ln,Insufficient property value,gen_xi,"Describes the value and home ownership status of the subject’s previous and current addresses in order to determine whether the subject’s most recent residential move (if the move occurred in the past five years) was to a similar property or a more upscale or downscale property. 
Note: Seniors (age 62 plus) who have moved default to the most positive level to prevent adverse action based on downsizing of empty nesters and retirees.",
ret255__tu,Excessive Account Balances,gen_xi,Average Aggregate Excess Payment for Retail accounts over the past 24 months,
linkf144__tu,Excessive number of credit obligations or accounts,gen_xi,Number of distinct bank accounts within last 9 months,
linkf091__tu,Excessive Number of Accounts,gen_xi,Number of trades,
