Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
fi101s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Account Balances,Total balance of all finance installment trades verified in past 12 months
fi101s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Account Balances,Total balance of all finance installment trades verified in past 12 months
fi101s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.0012849315808923622,0.00016047791343387196,Excessive Account Balances,Total balance of all finance installment trades verified in past 12 months
g002s__tu,"(-inf, 0.50)",16140,0.6451355024382445,8668,7472,0.46294919454770755,0.09154098990252696,0.005395281061891319,0.0006741747567606277,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,"[0.50, inf)",8878,0.35486449756175553,4197,4681,0.5272583915296238,-0.16607617081152423,0.009788266656990912,0.001222129158663838,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.01518354771888223,0.0018963039154244656,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g095s__tu,"(-inf, 0.50)",17630,0.7046926213126549,8605,9025,0.5119115144639819,-0.10458946740048634,0.007713051484463428,0.0009636922344346058,Derogatory public record,Months since most recent public record
g095s__tu,"[0.50, inf)",7388,0.29530737868734513,4260,3128,0.42338927991337305,0.2519409447531701,0.018579628773561598,0.002316330692307335,Derogatory public record,Months since most recent public record
g095s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Derogatory public record,Months since most recent public record
g095s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Derogatory public record,Months since most recent public record
g095s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.026292680258025024,0.0032800229267419406,Derogatory public record,Months since most recent public record
g232s__tu,"(-inf, 2.50)",1779,0.07110880166280278,1071,708,0.3979763912310287,0.3569695839089845,0.008921349962854262,0.001109285259125379,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[2.50, 3.50)",1333,0.05328163722120074,781,552,0.41410352588147037,0.2900927107175463,0.004434491134653041,0.0005523758917423799,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[3.50, 4.50)",1635,0.06535294587896714,924,711,0.43486238532110094,0.2051052489933987,0.002731735669975575,0.00034086967789525007,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[4.50, 5.50)",1572,0.06283475897353905,866,706,0.4491094147582697,0.14733527822414874,0.0013586915987233727,0.0001696830015437147,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[5.50, 6.50)",1671,0.06679190982492605,916,755,0.45182525433871934,0.13636422258006106,0.0012376900211470445,0.00015459149369680646,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[6.50, 10.50)",5382,0.21512510992085698,2826,2556,0.47491638795986624,0.043484354902003065,0.00040646217687352723,5.0803769493322666e-05,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[10.50, 12.50)",2131,0.08517867135662323,1066,1065,0.4997653683716565,-0.05599586626278027,0.000267223984411534,3.339863472144166e-05,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[12.50, 14.50)",1689,0.06751139179790551,814,875,0.5180580224985198,-0.12919791320011859,0.0011274118476281756,0.000140828547724976,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[14.50, 20.50)",3569,0.14265728675353745,1697,1872,0.5245166713365088,-0.15507978464835526,0.0034315685981904836,0.00042851675592140825,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[20.50, 24.50)",1405,0.05615956511311856,660,745,0.5302491103202847,-0.17807877620413257,0.0017807439679804091,0.00022229934155010723,Excessive inquiries,Number of inquiries (includes duplicates)
