,feature,median__pd,median__parse,median_diff
1911,bi02s__tu,-1.0,-1.0,0.0
31,per252__tu,-1.0,-1.0,0.0
217,per222__tu,-1.0,-1.0,0.0
222,per202__tu,-1.0,-1.0,0.0
780,subjectwillingnessindex__ln,1.0,1.0,0.0
744,bitdealertrack__app,1.0,1.0,0.0
324,st34s__tu,-1.0,-1.0,0.0
491,rtdexq4__tu,-1.0,-1.0,0.0
597,rtl_trd__tu,1.0,1.0,0.0
340,st31s__tu,-1.0,-1.0,0.0
1398,g200s__tu,100.0,100.0,0.0
328,st50s__tu,-1.0,-1.0,0.0
638,derogseverityindex__ln,1.0,1.0,0.0
