,feature,mean__pd,mean__parse,mean_diff
1222,linka023__tu,0.0339848777348777,0.247190765598356,151.65316976677002
1674,hr36s__tu,6.868243243243243,0.945301910716628,151.6070161704996
810,linkc007__tu,1.174670205920206,0.1643566088059114,150.90266841608286
1314,linka058__tu,0.0024533462033462,0.0003497879410607,150.08616455139935
433,pb57s__tu,1.7490889525738895,0.2507430807572908,149.84717184680346
938,linkd008__tu,13.301399613899614,91.35588736828298,149.1620698474092
1678,hr01s__tu,-0.1126126126126126,-0.0164181714835381,149.1030869926244
1443,g218d__tu,0.1048101673101673,0.7152288924839316,148.8755243749078
625,monthonbooks__app,72.0,10.643697258537012,148.4839250342831
934,linkt011__tu,-0.1079874517374517,-0.0162432775130077,147.69964690375468
1471,fc01s__tu,-0.1079874517374517,-0.0162432775130077,147.69964690375468
790,linkc037__tu,0.0865106177606177,0.0133793887455729,146.4235143693029
1040,linkf133__tu,26.899908301158305,171.81574504831448,145.8524623546378
1514,fr30s__tu,0.8458413770913771,5.292947400638363,144.88545491840898
1377,linka076__tu,0.1712525990651345,0.0273826614489965,144.85840755942021
1693,hi101s__tu,210.63495976837723,33.960728285711355,144.46226169252589
245,rev92__tu,0.1278957528957529,0.7571815836649032,142.1990609802546
1375,linka074__tu,0.0413243867755183,0.0070066394123562,142.01125061884943
47,rev201__tu,-0.9480457689832692,-0.1611696034279218,141.87978009083142
1617,hr101s__tu,115.67736012446848,19.9525519216475,141.1558951247764
1212,linka011__tu,0.120777027027027,0.0208561059857461,141.09822880535953
1518,fr34s__tu,0.957046332046332,5.470049407546675,140.43677761632745
1484,br06s__tu,-0.3616875804375804,-0.0636395435267369,140.15002576503827
1446,g207s__tu,2017.599354248756,359.67604502924803,139.48096293118007
307,rp07s__tu,988.3369891874116,183.27299038422663,137.4286687277162
1442,g219a__tu,-0.1328828828828828,-0.0246600498447816,137.38836920749716
1204,linka022__tu,0.4625965250965251,2.4898342879629225,137.32669052899354
94,rvlr63__tu,-0.3820382882882883,-0.071334878230073,137.06299049157863
816,linkc029__tu,0.6811856499356499,0.1332254820515062,134.56598181489136
1315,linka031__tu,0.005349099099099,0.0010493638231821,134.39900576571637
175,ret12__tu,1.0121460746460746,0.2018276419920423,133.49851344361298
477,jt75s__tu,-0.0797136422136422,-0.3940142538585982,132.6924651264477
1042,linkf135__tu,106.72563140142196,526.0338478209333,132.5332073838957
1930,cv27__tu,0.823439510939511,3.998360369026278,131.69027902955165
1321,linka063__tu,0.1853109330046533,0.0381747628000524,131.6739039380639
1323,linka065__tu,0.6726650703366784,0.1399425036071881,131.11434936398706
445,g416s__tu,3.983630952380953,0.8480827248480609,129.7903161071054
1283,linkf079__tu,154.82503861252485,726.7971000799813,129.75446880581342
1691,hi36s__tu,15.793436293436294,3.3660749420663723,129.72524401710166
1837,agg903__tu,-0.513030888030888,-0.1110139477941498,128.84232579386358
1322,linka064__tu,0.3259359484123039,0.070772812732281,128.6400305069269
545,g242s__tu,1.2194337194337197,5.573083817935377,128.18958727894366
817,linkc024__tu,1.1202541827541828,0.2492457697520878,127.20094095777003
569,jt41s__tu,1.200731981981982,0.2728345940273709,125.93898410311415
1908,bi57s__tu,21.908477448450355,4.999280441294141,125.68269029654762
1614,lm33s__tu,0.2672136422136422,0.0611473044466792,125.51208653940921
1293,linkf050__tu,0.028555341055341,0.1230160465217961,124.64186938762771
24,std254__tu,41.6962676962677,177.78477110751606,124.00934873732909
798,linkc020__tu,0.4319900257400257,0.1015259498928774,123.88160465302771
1041,linkf134__tu,0.1354971042471042,0.563420926063574,122.45322148185305
815,linkc028__tu,0.4520994208494208,0.1098989987320187,121.7798521114217
1642,g235s__tu,-0.1276544401544401,-0.031196711993354,121.4441656316631
334,hiap01__tu,1.2681857420687983,0.3103589698745135,121.35567208801139
293,s043s__tu,-1.100868725868726,-0.2731843819684316,120.4734138992807
1687,hi32s__tu,115.17300455648704,29.00754448865375,119.52438888390718
1688,hi33s__tu,115.17300455648704,29.00754448865375,119.52438888390718
329,st57s__tu,50.6194414666739,12.749198390070568,119.52361029750811
948,linkd012__tu,2.473938223938224,9.820274583533733,119.50885306183545
1838,agg904__tu,-0.534507722007722,-0.1348869747715447,119.3976436200995
1436,g223s__tu,0.0706644144144144,0.2788247125180359,119.12261759368268
1302,linkf059__tu,0.0318935006435006,0.1254864238555375,118.9388335392281
1316,linka082__tu,0.6747611930521901,0.1738192536399807,118.06586903219798
440,g411s__tu,0.6895511583011583,2.676140090070395,118.04938630246744
791,linkc036__tu,0.1705678893178893,0.04420445105155,117.67198518112345
1990,at24s__tu,0.3942648005148005,1.5182764199204233,117.5411653768005
548,g244f__tu,1.1444658944658943,4.384416947225745,117.20092993573152
23,std253__tu,21.473294723294725,82.13132351012199,117.09522185616737
1210,linka003__tu,1.0374839124839126,0.2721350181452494,116.88115931112533
814,linkc027__tu,0.3810730373230373,0.1014166411612959,115.92222948281041
899,linkf189__tu,107.8837676962677,405.29226968650255,115.9089592363029
643,criminalfelonycount__ln,0.0039414414414414,0.0148004022561322,115.87932318629512
1683,hi28s__tu,130.41900208235933,34.852164312885314,115.64853065891323
1445,g206s__tu,282.2736422692205,75.97728955854515,115.16863426323498
1211,linka025__tu,1.152750965250965,0.3110489265882559,115.00233650176537
22,std252__tu,10.261221042471044,37.90186262078615,114.77936824631388
177,ret14__tu,-0.1364623552123552,-0.5024922390800577,114.57148509059523
114,rvlr64__tu,-0.4054456241956242,-0.1103580954046609,114.41853463935361
419,re03s__tu,-0.91489703989704,-0.2500983778584233,114.12897457046654
1520,fr01s__tu,0.1183638996138996,0.4221503213676708,112.40644925200931
400,re29s__tu,-0.8879102316602316,-0.2509509859647588,111.85897558682412
344,s114s__tu,0.3731097168597168,1.3175200034978791,111.72290126762991
645,criminalnonfelonycount__ln,0.0113416988416988,0.0394823138472301,110.73747827731528
51,rev205__tu,0.4238191763191763,1.4699551834200515,110.48158950097178
346,st02s__tu,0.1899935649935649,0.6548467491583227,110.04521833961283
1747,cv18__tu,-0.452260296010296,-0.1315421275851515,109.8721606703674
1343,linka066__tu,0.7833872351650908,0.2310716693629487,108.88870181667892
1925,bc109s__tu,-0.3285472972972973,-0.0974815268243627,108.47424276952198
55,rev225__tu,0.4391324806949807,1.4772806173757158,108.3428346138801
454,g206b__tu,250.0925277556325,74.54812212400385,108.14690378220561
1690,hi35s__tu,94.67816924066923,28.474793406497312,107.51406123106386
1285,linkf064__tu,0.2150498712998713,0.7139171877049538,107.40258474600904
882,addrchangecount03month__ln,0.0370817245817245,0.0112150758602597,107.11537196977143
1279,linkf075__tu,0.2276383526383526,0.7502732718289536,106.88796535684781
1774,cv25__tu,0.7863175675675675,2.573236850159591,106.37835024568103
644,criminalfelonycount12month__ln,-0.0006837194337194,-0.0022298981242621,106.13463570791109
813,linkc026__tu,0.2995897683397683,0.0923440164400332,105.75549235500131
1643,g237s__tu,2.079351673101673,6.737440426741288,105.66402611949037
496,rets121__tu,53.00528756293069,16.51612414691367,104.97244667098752
558,se57s__tu,20.181630674639425,6.292424789150406,104.92692292260344
1266,linkf044__tu,0.195744851994852,0.6247868479734161,104.57658028206738
1239,linkf035__tu,0.1864945302445302,0.5909011411831577,104.04138479339211
