feature,suffix,feature_name,Description
g227s,__tu,g227s__tu,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
g228s,__tu,g228s__tu,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
g230s,__tu,g230s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
g232s,__tu,g232s__tu,Number of inquiries (includes duplicates)
g234s,__tu,g234s__tu,Number of days with inquiry occurring in past 30 days
g235s,__tu,g235s__tu,Number of trades opened since most recent delinquency (delinquency search limited to 24 months)
g237s,__tu,g237s__tu,Number of credit inquiries in past 6 months
g238s,__tu,g238s__tu,Number of credit inquiries in past 12 months
g240s,__tu,g240s__tu,Number of mortgage inquiries
g241s,__tu,g241s__tu,Number of mortgage inquiries in past 6 months
g250a,__tu,g250a__tu,Number of 30 days past due or worse items ever (excluding medical collection items)
g250b,__tu,g250b__tu,Number of 30 days past due or worse items in the past 12 months (excluding medical collection items)
g250c,__tu,g250c__tu,Number of 30 days past due or worse items in the past 24 months (excluding medical collection items)
g251a,__tu,g251a__tu,Number of 60 days past due or worse items ever (excluding medical collection items)
g251b,__tu,g251b__tu,Number of 60 days past due or worse items in the past 12 months (excluding medical collection items)
g251c,__tu,g251c__tu,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g300s,__tu,g300s__tu,Worst rating on credit card trades in past 12 months
g301s,__tu,g301s__tu,Worst rating on credit card trades
g302s,__tu,g302s__tu,Worst rating on revolving trades in past 12 months
g303s,__tu,g303s__tu,Worst rating on revolving trades
g304s,__tu,g304s__tu,Worst rating on installment trades in past 12 months
g305s,__tu,g305s__tu,Worst rating on installment trades
g306s,__tu,g306s__tu,Worst rating on auto trades in past 12 months
g307s,__tu,g307s__tu,Worst rating on auto trades
g308s,__tu,g308s__tu,Worst rating on mortgage trades in past 12 months
g309s,__tu,g309s__tu,Worst rating on mortgage trades
g310s,__tu,g310s__tu,Worst rating on all trades in past 12 months
