max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
148.00,10122,21305,0.47509974184463744,10353,21305,0.48594226707345695
149.00,10123,21307,0.47510207912892477,10353,21307,0.48589665368188856
150.00,10123,21308,0.4750797822414117,10353,21308,0.48587385019710905
151.00,10123,21308,0.4750797822414117,10353,21308,0.48587385019710905
152.00,10123,21308,0.4750797822414117,10353,21308,0.48587385019710905
153.00,10123,21308,0.4750797822414117,10353,21308,0.48587385019710905
154.00,10123,21310,0.47503519474425154,10354,21310,0.48587517597372126
155.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
156.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
157.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
158.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
159.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
160.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
161.00,10123,21311,0.4750129041340153,10354,21311,0.485852376706865
162.00,10123,21312,0.4749906156156156,10354,21312,0.48582957957957956
163.00,10124,21314,0.4749929623721498,10355,21314,0.48583090926151823
164.00,10124,21314,0.4749929623721498,10355,21314,0.48583090926151823
165.00,10124,21314,0.4749929623721498,10355,21314,0.48583090926151823
166.00,10124,21314,0.4749929623721498,10355,21314,0.48583090926151823
167.00,10124,21315,0.47497067792634295,10355,21315,0.4858081163499883
168.00,10124,21315,0.47497067792634295,10355,21315,0.4858081163499883
169.00,10124,21315,0.47497067792634295,10355,21315,0.4858081163499883
170.00,10124,21316,0.4749483955714018,10355,21316,0.48578532557703136
171.00,10124,21316,0.4749483955714018,10355,21316,0.48578532557703136
172.00,10124,21316,0.4749483955714018,10355,21316,0.48578532557703136
173.00,10124,21317,0.47492611530703194,10356,21317,0.48580944785851665
174.00,10125,21318,0.47495074584857866,10357,21318,0.4858335678769115
175.00,10125,21318,0.47495074584857866,10357,21318,0.4858335678769115
176.00,10125,21318,0.47495074584857866,10357,21318,0.4858335678769115
177.00,10125,21318,0.47495074584857866,10357,21318,0.4858335678769115
178.00,10125,21319,0.47492846756414464,10358,21319,0.48585768563253434
179.00,10125,21320,0.474906191369606,10359,21320,0.48588180112570356
180.00,10125,21321,0.4748839172646686,10359,21321,0.4858590122414521
181.00,10125,21321,0.4748839172646686,10359,21321,0.4858590122414521
182.00,10125,21322,0.47486164524903857,10359,21322,0.4858362254947941
183.00,10125,21323,0.4748393753224218,10359,21323,0.4858134408854289
184.00,10125,21323,0.4748393753224218,10359,21323,0.4858134408854289
185.00,10125,21323,0.4748393753224218,10359,21323,0.4858134408854289
186.00,10125,21323,0.4748393753224218,10359,21323,0.4858134408854289
187.00,10125,21323,0.4748393753224218,10359,21323,0.4858134408854289
188.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
189.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
190.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
191.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
192.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
193.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
194.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
195.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
196.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
197.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
198.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
199.00,10125,21324,0.4748171074845245,10360,21324,0.4858375539298443
