feature,importance,description
agg406__tu,0.0,Aggregate non-mortgage actual payment for month 6
agg407__tu,0.0,Aggregate non-mortgage actual payment for month 7
agg421__tu,0.0,Aggregate non-mortgage actual payment for month 21
agg410__tu,0.0,Aggregate non-mortgage actual payment for month 10
agg411__tu,0.0,Aggregate non-mortgage actual payment for month 11
agg413__tu,0.0,Aggregate non-mortgage actual payment for month 13
agg414__tu,0.0,Aggregate non-mortgage actual payment for month 14
agg415__tu,0.0,Aggregate non-mortgage actual payment for month 15
agg416__tu,0.0,Aggregate non-mortgage actual payment for month 16
agg417__tu,0.0,Aggregate non-mortgage actual payment for month 17
agg418__tu,0.0,Aggregate non-mortgage actual payment for month 18
agg409__tu,0.0,Aggregate non-mortgage actual payment for month 9
agg620__tu,0.0,Aggregate bankcard credit line for month 20
agg621__tu,0.0,Aggregate bankcard credit line for month 21
agg622__tu,0.0,Aggregate bankcard credit line for month 22
agg624__tu,0.0,Aggregate bankcard credit line for month 24
agg701__tu,0.0,Aggregate bankcard amount past due for month 1
agg702__tu,0.0,Aggregate bankcard amount past due for month 2
agg703__tu,0.0,Aggregate bankcard amount past due for month 3
agg704__tu,0.0,Aggregate bankcard amount past due for month 4
agg518__tu,0.0,Aggregate bankcard balances for month 18
agg706__tu,0.0,Aggregate bankcard amount past due for month 6
