accountid,pd_gen12,ecnl_gen12,pd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8439403,0.19929702040495695,0.2979378259023542,0.2827296924093165,0.5829319727811606,,1.0872740777420153,Franchise,3707.0,C,Decline,1,0,0,1,0,0,1,0
8439446,0.04220935341020477,0.05607648062020336,0.12130365402270527,0.1897672859614172,,0.8733385882416895,Independent,8000.0,A1,B,1,1,0,0,1,0,0,0
8439451,0.18945611022165842,0.30166803232002304,0.16136741720707004,0.2755095034226871,,0.7468469886504847,Franchise,4087.0,C,C,1,1,0,0,1,0,0,0
8439469,0.32970292349314173,0.5334744483539836,0.16336017739317202,0.28365130614370104,,1.151767955801105,Franchise,4682.0,Decline,C,0,1,1,0,0,0,0,1
8439475,0.15075717360293567,0.21323142426296748,0.16340352981819908,0.2837527969538816,,1.2678062678062678,Franchise,5834.0,B,C,1,1,0,0,1,0,0,0
8439494,0.544534199763749,0.856186026313993,0.34434517704214146,0.742346820170957,,1.2865261491978994,Franchise,4840.0,Decline,Decline,0,0,1,1,0,1,0,0
8439506,0.25852818608009276,0.38200123260704655,0.08453172282796213,0.11061232067850574,,1.3456,Independent,5546.0,Decline,A,0,1,1,0,0,0,0,1
8439509,0.17268829578372807,0.2661010685482378,0.25076659056822137,0.49206839845900496,,0.976146992085893,Independent,6000.0,C,Decline,1,0,0,1,0,0,1,0
8439532,0.12700483900818407,0.18474373536034067,0.11171664551640285,0.1621627539854578,7.0,,Franchise,7100.0,B,B,1,1,0,0,1,0,0,0
8439545,0.28854860513875313,0.3691203540641574,0.06806604871399938,0.07971486472827188,,1.2301052631578948,Independent,4800.0,Decline,A,0,1,1,0,0,0,0,1
8439546,0.35670583056477984,0.5475896174479136,0.2237743636359995,0.4223870978062462,,1.1114181818181819,Independent,4000.0,Decline,Decline,0,0,1,1,0,1,0,0
8439601,0.5336118752600065,0.8927289148579427,0.40170106559928165,0.8668941795578192,,1.4312698412698412,Franchise,4500.0,Decline,Decline,0,0,1,1,0,1,0,0
8439629,0.21345410767943618,0.3480976565126716,0.3036545030834848,0.6388270349770808,7.0,1.3386387096774193,Franchise,5150.37,D,Decline,1,0,0,1,0,0,1,0
8439637,0.22203692096067762,0.33341919692639,0.16990330735111492,0.30265590665274905,,0.9668583206769364,Independent,7376.5,D,C,1,1,0,0,1,0,0,0
8439647,0.055638491806183986,0.07284461823535543,0.12092858128651113,0.18868110549120728,,1.2958282208588956,Franchise,12500.0,A1,B,1,1,0,0,1,0,0,0
8459726,0.020419091753443752,0.02961186458445792,0.12120598066179329,0.18936026836993136,,0.7646606965174129,Franchise,3500.0,A1,B,1,1,0,0,1,0,0,0
8459769,0.3483151899027696,0.477268522114559,0.19318434655525804,0.3477620042256382,,1.1263296703296704,Franchise,4300.0,Decline,D,0,1,1,0,0,0,0,1
8459771,0.06518936109556848,0.08030625345671633,0.07061009535884757,0.08443113246643527,,1.0652463382157125,Franchise,20833.33,A,A,1,1,0,0,1,0,0,0
8459774,0.20765878217513123,0.34140518956133475,0.20326551271876295,0.37171857861105984,,1.079475753604194,Independent,4079.0,D,Decline,1,0,0,1,0,0,1,0
8459806,0.2522353596086355,0.3829684765123932,0.2579712301670317,0.5118094970134103,,1.2739113680154142,Franchise,5200.0,Decline,Decline,0,0,1,1,0,1,0,0
