feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
agg510__tu,float64,0.003486936,-6,311833,311839,3892.54756,1025.866801,-1,-1,30664,0.01464813,0.667717602,0.047061369,4.78E-07,0.016633443,0.320540243,0.342529093,0.338846748,Aggregate bankcard balances for month 10,0
agg509__tu,float64,0.003486936,-6,293828,293834,3918.468803,1041.26352,-1,-1,30796,0.014711186,0.662254648,0.047061369,4.78E-07,0.016687423,0.320205229,0.342542194,0.338802836,Aggregate bankcard balances for month 9,0
agg508__tu,float64,0.003486936,-6,307170,307176,3960.545493,1059.619494,-1,-1,30989,0.014803382,0.654590462,0.047061369,4.78E-07,0.01838946,0.320343941,0.342872593,0.339039831,Aggregate bankcard balances for month 8,0
agg507__tu,float64,0.003486936,-6,297859,297865,3998.128248,1076.641221,-1,-1,31196,0.014902265,0.649438968,0.047061369,4.78E-07,0.017100154,0.319953522,0.342859013,0.339035567,Aggregate bankcard balances for month 7,0
agg506__tu,float64,0.003486936,-6,930001001,930001007,642788.6747,1543.279937,-1,-1,31544,0.015068504,0.641366828,0.047061369,4.78E-07,0.017286456,0.319263393,0.342811816,0.338839418,Aggregate bankcard balances for month 6,0
agg604__tu,float64,0.003486936,-6,326200,326206,4932.639281,1082.889497,-1,-2,9747,0.004656122,0.721614352,0.047061369,4.78E-07,0.000102227,0.321770632,0.341555188,0.341093233,Aggregate bankcard credit line for month 4,0
agg605__tu,float64,0.003486936,-6,323000,323006,4932.240134,1077.080173,-1,-2,9753,0.004658988,0.728127285,0.047061369,4.78E-07,0.000102227,0.322280023,0.341657033,0.341038173,Aggregate bankcard credit line for month 5,0
agg606__tu,float64,0.003486936,-6,319000,319006,4930.217578,1071.712114,-1,-2,9758,0.004661377,0.733770809,0.047061369,4.78E-07,0.000102227,0.322462723,0.341608639,0.340899291,Aggregate bankcard credit line for month 6,0
agg607__tu,float64,0.003486936,-6,319000,319006,4920.997272,1063.95676,-1,-2,9699,0.004633192,0.739593469,0.047061369,4.78E-07,0.000102227,0.322820995,0.341656521,0.340796458,Aggregate bankcard credit line for month 7,0
agg704__tu,float64,0.003486936,-6,162245,162251,1537.527072,256.5233907,-1,-1,15741,0.007519444,0.623677672,0.047061369,4.78E-07,0.22649523,0.317098685,0.342458965,0.319621133,Aggregate bankcard amount past due for month 4,0
agg703__tu,float64,0.003486936,-6,162245,162251,1575.995884,266.4321848,-1,-1,15985,0.007636002,0.614721313,0.047061369,4.78E-07,0.231276509,0.317132666,0.342844221,0.31962762,Aggregate bankcard amount past due for month 3,0
agg702__tu,float64,0.003486936,-6,162245,162251,1631.278981,281.1723482,-1,-1,16414,0.007840934,0.60105342,0.047061369,4.78E-07,0.238484971,0.316078251,0.342952674,0.319284516,Aggregate bankcard amount past due for month 2,0
agg701__tu,float64,0.003486936,-6,150898,150904,1772.238011,314.3510779,-1,-1,17331,0.008278983,0.545564503,0.047061369,9.55E-07,0.284478208,0.352780478,0.352780478,0.319186528,Aggregate bankcard amount past due for month 1,0
agg624__tu,float64,0.003486936,-6,326720,326726,4653.825133,955.0081877,-1,-2,9311,0.004447846,0.788391749,0.047061369,4.78E-07,0.000102227,0.322071204,0.340054338,0.340054338,Aggregate bankcard credit line for month 24,0
agg623__tu,float64,0.003486936,-6,291700,291706,4676.380453,965.2371584,-1,-2,9290,0.004437814,0.786058194,0.047061369,4.78E-07,0.000102227,0.322232699,0.340201506,0.340201506,Aggregate bankcard credit line for month 23,0
agg622__tu,float64,0.003486936,-6,311720,311726,4700.314637,973.4546567,-1,-2,9382,0.004481762,0.783188185,0.047061369,4.78E-07,0.000102227,0.322269531,0.340288685,0.340288685,Aggregate bankcard credit line for month 22,0
